TaskId,TaskType,TotalTime,AlgorithmId,ScoringTime,NumberTemporalQueries,SearchedItemPosition,FirstOccurrence,TotalResults,SearchedItemScore,VBSScore,AvgScore,MedianScore,BestScore,WorstScore
3584f2e1-e562-4e4c-bf25-476d5f68d994,KIST,5.0E9,CLUSTER,170121791,5,6538,6538,26945,0.1,95.0,0.10072237,0.06666667,6.800003,0.02857143
3584f2e1-e562-4e4c-bf25-476d5f68d994,KIST,5.0E9,LNA,291305014,5,1834,1834,46493,0.050663695,88.0,0.031270083,0.031746034,0.10247269,0.015873017
3584f2e1-e562-4e4c-bf25-476d5f68d996,KIST,5.0E9,STA,230132650,7,28656,28656,52244,0.04761905,91.0,0.04666614,0.071428575,0.22074832,0.020408165
3584f2e1-e562-4e4c-bf25-476d5f68d996,KIST,5.0E9,NA,257371242,7,9332,9332,63328,0.041833535,88.0,0.034465972,0.055555556,0.14236122,0.015873017
3584f2e1-e562-4e4c-bf25-476d5f68d996,KIST,5.0E9,IDA,249428877,7,3237,3237,64422,0.08154033,88.0,0.047188967,0.071428575,0.1821196,0.020408165
3584f2e1-e562-4e4c-bf25-476d5f68d996,KIST,5.0E9,VITRIVR,1238515355,7,12824,12824,55514,0.06462585,85.0,0.05492121,0.071428575,0.35714287,0.020408165
3584f2e1-e562-4e4c-bf25-476d5f68d996,KIST,5.0E9,CLUSTER,123098012,7,9646,9646,34680,0.071428575,95.0,0.0762274,0.071428575,4.857145,0.020408165
3584f2e1-e562-4e4c-bf25-476d5f68d996,KIST,5.0E9,LNA,305478136,7,2938,2938,61733,0.050663695,88.0,0.032230295,0.037037037,0.11430168,0.015873017
3584f2e1-e562-4e4c-bf25-476d5f68d995,KIST,5.0E9,STA,7743603,6,-1,-1,0,-1.0,0.0,NaN,-1.0,-1.0,-1.0
3584f2e1-e562-4e4c-bf25-476d5f68d995,KIST,5.0E9,NA,12644193,6,-1,-1,0,-1.0,0.0,NaN,-1.0,-1.0,-1.0
3584f2e1-e562-4e4c-bf25-476d5f68d995,KIST,5.0E9,IDA,6841136,6,-1,-1,0,-1.0,0.0,NaN,-1.0,-1.0,-1.0
3584f2e1-e562-4e4c-bf25-476d5f68d995,KIST,5.0E9,VITRIVR,4897080,6,-1,-1,0,-1.0,0.0,NaN,-1.0,-1.0,-1.0
3584f2e1-e562-4e4c-bf25-476d5f68d995,KIST,5.0E9,CLUSTER,21307227,6,-1,-1,0,-1.0,0.0,NaN,-1.0,-1.0,-1.0
3584f2e1-e562-4e4c-bf25-476d5f68d995,KIST,5.0E9,LNA,9512164,6,-1,-1,0,-1.0,0.0,NaN,-1.0,-1.0,-1.0
3584f2e1-e562-4e4c-bf25-476d5f68d997,KIST,5.0E9,STA,287719375,8,-1,-1,10000,-1.0,89.0,0.041666668,0.0625,0.041666668,0.041666668
3584f2e1-e562-4e4c-bf25-476d5f68d997,KIST,5.0E9,NA,27221128,8,-1,-1,10000,-1.0,92.0,0.037037037,0.055555556,0.037037037,0.037037037
3584f2e1-e562-4e4c-bf25-476d5f68d997,KIST,5.0E9,IDA,55221176,8,-1,-1,10000,-1.0,92.0,0.041666668,0.0625,0.041666668,0.041666668
3584f2e1-e562-4e4c-bf25-476d5f68d997,KIST,5.0E9,VITRIVR,458714615,8,-1,-1,10000,-1.0,93.0,0.041666668,0.0625,0.041666668,0.041666668
3584f2e1-e562-4e4c-bf25-476d5f68d997,KIST,5.0E9,CLUSTER,66702654,8,-1,-1,6530,-1.0,93.0,0.06380807,0.0625,1.458333,0.041666668
3584f2e1-e562-4e4c-bf25-476d5f68d997,KIST,5.0E9,LNA,39245297,8,-1,-1,10000,-1.0,92.0,0.037037037,0.055555556,0.037037037,0.037037037
3584f2e1-e562-4e4c-bf25-476d5f68d980,KIST,5.0E9,STA,15053120,1,-1,-1,12,-1.0,0.0,1.4953593,2.25,1.5,1.4443119
3584f2e1-e562-4e4c-bf25-476d5f68d980,KIST,5.0E9,NA,10512459,1,-1,-1,12,-1.0,0.0,1.4953593,2.25,1.5,1.4443119
3584f2e1-e562-4e4c-bf25-476d5f68d980,KIST,5.0E9,IDA,14685827,1,-1,-1,12,-1.0,0.0,1.4953593,2.25,1.5,1.4443119
