TaskId,TaskType,TotalTime,AlgorithmId,ScoringTime,NumberTemporalQueries,SearchedItemPosition,FirstOccurrence,TotalResults,SearchedItemScore,VBSScore,AvgScore,MedianScore,BestScore,WorstScore
3584f2e1-e562-4e4c-bf25-476d5f68d050,KIST,5.0E9,VITRIVR,866702824,1,437,437,10000,0.5,53.0,0.2705,0.375,0.75,0.25
3584f2e1-e562-4e4c-bf25-476d5f68d050,KIST,5.0E9,CLUSTER,56906497,1,157,157,5814,1.75,98.0,0.46525627,0.375,19.0,0.25
3584f2e1-e562-4e4c-bf25-476d5f68d050,KIST,5.0E9,LNA,57764418,1,437,437,10000,0.5,98.0,0.2705,0.375,0.75,0.25
3584f2e1-e562-4e4c-bf25-476d5f68d070,KIST,5.0E9,STA,103978528,1,108,108,10000,0.6666667,77.0,0.34683335,0.5,0.6666667,0.33333334
3584f2e1-e562-4e4c-bf25-476d5f68d070,KIST,5.0E9,SQA,65430421,1,108,108,10000,0.6666667,77.0,0.34683335,0.5,0.6666667,0.33333334
3584f2e1-e562-4e4c-bf25-476d5f68d070,KIST,5.0E9,NA,63332007,1,108,108,10000,0.6666667,77.0,0.34683335,0.5,0.6666667,0.33333334
3584f2e1-e562-4e4c-bf25-476d5f68d070,KIST,5.0E9,IDA,59381392,1,108,108,10000,0.6666667,78.0,0.34683335,0.5,0.6666667,0.33333334
3584f2e1-e562-4e4c-bf25-476d5f68d070,KIST,5.0E9,ASTAR,4371247289,1,108,108,10000,0.6666667,34.0,0.34683335,0.5,0.6666667,0.33333334
3584f2e1-e562-4e4c-bf25-476d5f68d070,KIST,5.0E9,VITRIVR,398913691,1,108,108,10000,0.6666667,0.0,0.34683335,0.5,0.6666667,0.33333334
3584f2e1-e562-4e4c-bf25-476d5f68d070,KIST,5.0E9,CLUSTER,60316940,1,369,369,6219,1.3333334,84.0,0.55769956,0.33333334,11.999997,0.33333334
3584f2e1-e562-4e4c-bf25-476d5f68d070,KIST,5.0E9,LNA,48858585,1,108,108,10000,0.6666667,78.0,0.34683335,0.5,0.6666667,0.33333334
3584f2e1-e562-4e4c-bf25-476d5f68d010,KISV,5.0E9,STA,105287666,1,171,171,10000,0.5,76.0,0.266425,0.375,0.5,0.25
3584f2e1-e562-4e4c-bf25-476d5f68d010,KISV,5.0E9,SQA,107742621,1,171,171,10000,0.5,76.0,0.266425,0.375,0.5,0.25
3584f2e1-e562-4e4c-bf25-476d5f68d010,KISV,5.0E9,NA,129968360,1,171,171,10000,0.5,76.0,0.266425,0.375,0.5,0.25
